"treatment","k","k_numeric","max_depth","repeat_id","fold_id","f1","n_train","n_valid","positive_rate_valid"
"k=10","k=10","k=10","None",4,4,0.854961832061069,4500,500,0.142
"k=10","k=10","k=10","None",4,5,0.829268292682927,4500,500,0.142
"k=10","k=10","k=10","None",4,6,0.768,4501,499,0.140280561122244
"k=10","k=10","k=10","None",4,7,0.828125,4500,500,0.142
"k=10","k=10","k=10","None",4,8,0.766666666666667,4499,501,0.141716566866267
"k=10","k=10","k=10","None",4,9,0.841269841269841,4500,500,0.14
"k=10","k=10","k=10","None",4,10,0.816,4500,500,0.142
"k=10","k=10","k=10","None",5,1,0.8125,4501,499,0.140280561122244
"k=10","k=10","k=10","None",5,2,0.770491803278688,4500,500,0.142
"k=10","k=10","k=10","None",5,3,0.816,4500,500,0.142
"k=10","k=10","k=10","None",5,4,0.854838709677419,4500,500,0.142
"k=10","k=10","k=10","None",5,5,0.825396825396825,4499,501,0.141716566866267
"k=10","k=10","k=10","None",5,6,0.784,4500,500,0.142
"k=10","k=10","k=10","None",5,7,0.850393700787402,4499,501,0.141716566866267
"k=10","k=10","k=10","None",5,8,0.80952380952381,4501,499,0.140280561122244
"k=10","k=10","k=10","None",5,9,0.873015873015873,4500,500,0.14
"k=10","k=10","k=10","None",5,10,0.82089552238806,4500,500,0.142
"k=10","k=10","k=10","None",6,1,0.837209302325581,4499,501,0.141716566866267
"k=10","k=10","k=10","None",6,2,0.850393700787402,4500,500,0.142
"k=10","k=10","k=10","None",6,3,0.768,4500,500,0.142
"k=10","k=10","k=10","None",6,4,0.816,4499,501,0.141716566866267
"k=10","k=10","k=10","None",6,5,0.769230769230769,4499,501,0.141716566866267
"k=10","k=10","k=10","None",6,6,0.850393700787402,4500,500,0.142
"k=10","k=10","k=10","None",6,7,0.786885245901639,4500,500,0.142
"k=10","k=10","k=10","None",6,8,0.909090909090909,4501,499,0.140280561122244
"k=10","k=10","k=10","None",6,9,0.816,4501,499,0.140280561122244
"k=10","k=10","k=10","None",6,10,0.852459016393443,4501,499,0.140280561122244
"k=10","k=10","k=10","None",7,1,0.825396825396825,4500,500,0.142
"k=10","k=10","k=10","None",7,2,0.835820895522388,4499,501,0.141716566866267
"k=10","k=10","k=10","None",7,3,0.806451612903226,4499,501,0.141716566866267
"k=10","k=10","k=10","None",7,4,0.796875,4499,501,0.141716566866267
"k=10","k=10","k=10","None",7,5,0.784,4500,500,0.142
"k=10","k=10","k=10","None",7,6,0.833333333333333,4500,500,0.142
"k=10","k=10","k=10","None",7,7,0.829268292682927,4501,499,0.140280561122244
"k=10","k=10","k=10","None",7,8,0.82258064516129,4500,500,0.142
"k=10","k=10","k=10","None",7,9,0.850393700787402,4501,499,0.140280561122244
"k=10","k=10","k=10","None",7,10,0.850393700787402,4501,499,0.140280561122244
"k=10","k=10","k=10","None",8,1,0.897058823529412,4500,500,0.14
"k=10","k=10","k=10","None",8,2,0.818181818181818,4499,501,0.141716566866267
"k=10","k=10","k=10","None",8,3,0.818897637795276,4500,500,0.142
"k=10","k=10","k=10","None",8,4,0.8,4500,500,0.142
"k=10","k=10","k=10","None",8,5,0.816,4500,500,0.142
"k=10","k=10","k=10","None",8,6,0.818897637795276,4500,500,0.142
"k=10","k=10","k=10","None",8,7,0.852459016393443,4501,499,0.140280561122244
"k=10","k=10","k=10","None",8,8,0.768,4500,500,0.142
"k=10","k=10","k=10","None",8,9,0.8125,4501,499,0.140280561122244
"k=10","k=10","k=10","None",8,10,0.790322580645161,4499,501,0.141716566866267
"k=10","k=10","k=10","None",9,1,0.780487804878049,4501,499,0.140280561122244
"k=10","k=10","k=10","None",9,2,0.780487804878049,4500,500,0.142
"k=10","k=10","k=10","None",9,3,0.705882352941176,4500,500,0.142
"k=10","k=10","k=10","None",9,4,0.857142857142857,4499,501,0.141716566866267
"k=10","k=10","k=10","None",9,5,0.848484848484849,4500,500,0.14
"k=10","k=10","k=10","None",9,6,0.866141732283465,4499,501,0.141716566866267
"k=10","k=10","k=10","None",9,7,0.87218045112782,4500,500,0.142
"k=10","k=10","k=10","None",9,8,0.852713178294574,4500,500,0.142
"k=10","k=10","k=10","None",9,9,0.848,4501,499,0.140280561122244
"k=10","k=10","k=10","None",9,10,0.803149606299213,4500,500,0.142
"k=10","k=10","k=10","None",10,1,0.870229007633588,4499,501,0.141716566866267
"k=10","k=10","k=10","None",10,2,0.828125,4499,501,0.141716566866267
"k=10","k=10","k=10","None",10,3,0.773109243697479,4500,500,0.14
"k=10","k=10","k=10","None",10,4,0.80952380952381,4500,500,0.142
"k=10","k=10","k=10","None",10,5,0.793388429752066,4500,500,0.142
"k=10","k=10","k=10","None",10,6,0.885496183206107,4500,500,0.142
"k=10","k=10","k=10","None",10,7,0.776859504132231,4500,500,0.142
"k=10","k=10","k=10","None",10,8,0.878787878787879,4501,499,0.140280561122244
"k=10","k=10","k=10","None",10,9,0.803149606299213,4500,500,0.142
"k=10","k=10","k=10","None",10,10,0.80327868852459,4501,499,0.140280561122244
