"treatment","k","k_numeric","max_depth","repeat_id","fold_id","f1","n_train","n_valid","positive_rate_valid"
"k=10_depth=3","k=10","k=10","3",4,7,0.289156626506024,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",4,8,0.0547945205479452,4499,501,0.141716566866267
"k=10_depth=3","k=10","k=10","3",4,9,0.133333333333333,4500,500,0.14
"k=10_depth=3","k=10","k=10","3",4,10,0.325581395348837,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",5,1,0.17948717948718,4501,499,0.140280561122244
"k=10_depth=3","k=10","k=10","3",5,2,0.30952380952381,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",5,3,0.106666666666667,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",5,4,0.225,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",5,5,0.179487179487179,4499,501,0.141716566866267
"k=10_depth=3","k=10","k=10","3",5,6,0.246913580246914,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",5,7,0.0810810810810811,4499,501,0.141716566866267
"k=10_depth=3","k=10","k=10","3",5,8,0.268292682926829,4501,499,0.140280561122244
"k=10_depth=3","k=10","k=10","3",5,9,0.25,4500,500,0.14
"k=10_depth=3","k=10","k=10","3",5,10,0.265060240963855,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",6,1,0.106666666666667,4499,501,0.141716566866267
"k=10_depth=3","k=10","k=10","3",6,2,0.289156626506024,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",6,3,0.155844155844156,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",6,4,0.106666666666667,4499,501,0.141716566866267
"k=10_depth=3","k=10","k=10","3",6,5,0.325581395348837,4499,501,0.141716566866267
"k=10_depth=3","k=10","k=10","3",6,6,0.268292682926829,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",6,7,0.106666666666667,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",6,8,0.0555555555555556,4501,499,0.140280561122244
"k=10_depth=3","k=10","k=10","3",6,9,0.25,4501,499,0.140280561122244
"k=10_depth=3","k=10","k=10","3",6,10,0.181818181818182,4501,499,0.140280561122244
"k=10_depth=3","k=10","k=10","3",7,1,0.225,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",7,2,0.20253164556962,4499,501,0.141716566866267
"k=10_depth=3","k=10","k=10","3",7,3,0.155844155844156,4499,501,0.141716566866267
"k=10_depth=3","k=10","k=10","3",7,4,0.155844155844156,4499,501,0.141716566866267
"k=10_depth=3","k=10","k=10","3",7,5,0.197530864197531,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",7,6,0.348837209302326,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",7,7,0.227848101265823,4501,499,0.140280561122244
"k=10_depth=3","k=10","k=10","3",7,8,0.0810810810810811,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",7,9,0.181818181818182,4501,499,0.140280561122244
"k=10_depth=3","k=10","k=10","3",7,10,0.133333333333333,4501,499,0.140280561122244
"k=10_depth=3","k=10","k=10","3",8,1,0.225,4500,500,0.14
"k=10_depth=3","k=10","k=10","3",8,2,0.2,4499,501,0.141716566866267
"k=10_depth=3","k=10","k=10","3",8,3,0.329411764705882,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",8,4,0.289156626506024,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",8,5,0.329411764705882,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",8,6,0.20253164556962,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",8,7,0.181818181818182,4501,499,0.140280561122244
"k=10_depth=3","k=10","k=10","3",8,8,0.2,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",8,9,0.25,4501,499,0.140280561122244
"k=10_depth=3","k=10","k=10","3",8,10,0.106666666666667,4499,501,0.141716566866267
"k=10_depth=3","k=10","k=10","3",9,1,0.133333333333333,4501,499,0.140280561122244
"k=10_depth=3","k=10","k=10","3",9,2,0.24390243902439,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",9,3,0.268292682926829,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",9,4,0.246913580246914,4499,501,0.141716566866267
"k=10_depth=3","k=10","k=10","3",9,5,0.205128205128205,4500,500,0.14
"k=10_depth=3","k=10","k=10","3",9,6,0.225,4499,501,0.141716566866267
"k=10_depth=3","k=10","k=10","3",9,7,0.268292682926829,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",9,8,0.246913580246914,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",9,9,0.108108108108108,4501,499,0.140280561122244
"k=10_depth=3","k=10","k=10","3",9,10,0.225,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",10,1,0.0540540540540541,4499,501,0.141716566866267
"k=10_depth=3","k=10","k=10","3",10,2,0.0810810810810811,4499,501,0.141716566866267
"k=10_depth=3","k=10","k=10","3",10,3,0.227848101265823,4500,500,0.14
"k=10_depth=3","k=10","k=10","3",10,4,0.225,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",10,5,0.30952380952381,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",10,6,0.155844155844156,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",10,7,0.246913580246914,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",10,8,0.30952380952381,4501,499,0.140280561122244
"k=10_depth=3","k=10","k=10","3",10,9,0.179487179487179,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",10,10,0.20253164556962,4501,499,0.140280561122244
"k=3_depth=5","k=3","k=3","5",1,1,0.551515151515152,3333,1667,0.141571685662867
"k=3_depth=5","k=3","k=3","5",1,2,0.470967741935484,3333,1667,0.141571685662867
"k=3_depth=5","k=3","k=3","5",1,3,0.398648648648649,3334,1666,0.141056422569028
"k=3_depth=5","k=3","k=3","5",2,1,0.517133956386293,3334,1666,0.141056422569028
"k=3_depth=5","k=3","k=3","5",2,2,0.472491909385113,3333,1667,0.141571685662867
"k=3_depth=5","k=3","k=3","5",2,3,0.385135135135135,3333,1667,0.141571685662867
"k=3_depth=5","k=3","k=3","5",3,1,0.482539682539682,3333,1667,0.141571685662867
"k=3_depth=5","k=3","k=3","5",3,2,0.460063897763578,3334,1666,0.141056422569028
"k=3_depth=5","k=3","k=3","5",3,3,0.442244224422442,3333,1667,0.141571685662867
"k=3_depth=5","k=3","k=3","5",4,1,0.470967741935484,3334,1666,0.141056422569028
"k=3_depth=5","k=3","k=3","5",4,2,0.428571428571429,3333,1667,0.141571685662867
"k=3_depth=5","k=3","k=3","5",4,3,0.520123839009288,3333,1667,0.141571685662867
"k=3_depth=5","k=3","k=3","5",5,1,0.517133956386293,3333,1667,0.141571685662867
"k=3_depth=5","k=3","k=3","5",5,2,0.496894409937888,3333,1667,0.141571685662867
"k=3_depth=5","k=3","k=3","5",5,3,0.373702422145329,3334,1666,0.141056422569028
"k=3_depth=5","k=3","k=3","5",6,1,0.496815286624204,3334,1666,0.141056422569028
"k=3_depth=5","k=3","k=3","5",6,2,0.453674121405751,3333,1667,0.141571685662867
"k=3_depth=5","k=3","k=3","5",6,3,0.53822629969419,3333,1667,0.141571685662867
"k=3_depth=5","k=3","k=3","5",7,1,0.434504792332268,3334,1666,0.141056422569028
"k=3_depth=5","k=3","k=3","5",7,2,0.442244224422442,3333,1667,0.141571685662867
"k=3_depth=5","k=3","k=3","5",7,3,0.520376175548589,3333,1667,0.141571685662867
"k=3_depth=5","k=3","k=3","5",8,1,0.48125,3333,1667,0.141571685662867
"k=3_depth=5","k=3","k=3","5",8,2,0.453074433656958,3333,1667,0.141571685662867
"k=3_depth=5","k=3","k=3","5",8,3,0.464052287581699,3334,1666,0.141056422569028
"k=3_depth=5","k=3","k=3","5",9,1,0.47588424437299,3333,1667,0.141571685662867
"k=3_depth=5","k=3","k=3","5",9,2,0.504731861198738,3333,1667,0.141571685662867
"k=3_depth=5","k=3","k=3","5",9,3,0.477987421383648,3334,1666,0.141056422569028
"k=3_depth=5","k=3","k=3","5",10,1,0.50920245398773,3333,1667,0.141571685662867
"k=3_depth=5","k=3","k=3","5",10,2,0.515527950310559,3333,1667,0.141571685662867
"k=3_depth=5","k=3","k=3","5",10,3,0.457516339869281,3334,1666,0.141056422569028
"k=5_depth=5","k=5","k=5","5",1,1,0.507936507936508,4001,999,0.141141141141141
"k=5_depth=5","k=5","k=5","5",1,2,0.50761421319797,3999,1001,0.141858141858142
"k=5_depth=5","k=5","k=5","5",1,3,0.462365591397849,4000,1000,0.141
"k=5_depth=5","k=5","k=5","5",1,4,0.510416666666667,4000,1000,0.141
"k=5_depth=5","k=5","k=5","5",1,5,0.410810810810811,4000,1000,0.142
"k=5_depth=5","k=5","k=5","5",2,1,0.473118279569892,4000,1000,0.141
"k=5_depth=5","k=5","k=5","5",2,2,0.505154639175258,4001,999,0.141141141141141
"k=5_depth=5","k=5","k=5","5",2,3,0.494736842105263,3999,1001,0.141858141858142
"k=5_depth=5","k=5","k=5","5",2,4,0.518134715025907,3999,1001,0.141858141858142
"k=5_depth=5","k=5","k=5","5",2,5,0.510204081632653,4001,999,0.141141141141141
"k=5_depth=5","k=5","k=5","5",3,1,0.515463917525773,4000,1000,0.141
"k=5_depth=5","k=5","k=5","5",3,2,0.419354838709677,4000,1000,0.141
"k=5_depth=5","k=5","k=5","5",3,3,0.50261780104712,4000,1000,0.142
"k=5_depth=5","k=5","k=5","5",3,4,0.557213930348259,4000,1000,0.142
"k=5_depth=5","k=5","k=5","5",3,5,0.397727272727273,4000,1000,0.141
"k=5_depth=5","k=5","k=5","5",4,1,0.538071065989848,3999,1001,0.141858141858142
"k=5_depth=5","k=5","k=5","5",4,2,0.525773195876289,4000,1000,0.142
"k=5_depth=5","k=5","k=5","5",4,3,0.505263157894737,4001,999,0.141141141141141
"k=5_depth=5","k=5","k=5","5",4,4,0.473118279569892,4000,1000,0.141
"k=5_depth=5","k=5","k=5","5",4,5,0.415300546448087,4000,1000,0.141
"k=5_depth=5","k=5","k=5","5",5,1,0.468085106382979,4000,1000,0.141
"k=5_depth=5","k=5","k=5","5",5,2,0.433862433862434,4000,1000,0.142
"k=5_depth=5","k=5","k=5","5",5,3,0.494845360824742,3999,1001,0.141858141858142
"k=5_depth=5","k=5","k=5","5",5,4,0.536082474226804,4001,999,0.141141141141141
"k=5_depth=5","k=5","k=5","5",5,5,0.48936170212766,4000,1000,0.141
"k=5_depth=5","k=5","k=5","5",6,1,0.518134715025907,3999,1001,0.141858141858142
"k=5_depth=5","k=5","k=5","5",6,2,0.492146596858639,4000,1000,0.142
"k=5_depth=5","k=5","k=5","5",6,3,0.375,4000,1000,0.141
"k=5_depth=5","k=5","k=5","5",6,4,0.48421052631579,4001,999,0.141141141141141
"k=5_depth=5","k=5","k=5","5",6,5,0.525773195876289,4000,1000,0.141
"k=5_depth=5","k=5","k=5","5",7,1,0.510416666666667,3999,1001,0.141858141858142
"k=5_depth=5","k=5","k=5","5",7,2,0.473118279569892,4000,1000,0.141
"k=5_depth=5","k=5","k=5","5",7,3,0.464864864864865,4000,1000,0.141
"k=5_depth=5","k=5","k=5","5",7,4,0.520408163265306,4000,1000,0.142
"k=5_depth=5","k=5","k=5","5",7,5,0.494736842105263,4001,999,0.141141141141141
"k=5_depth=5","k=5","k=5","5",8,1,0.487046632124352,4000,1000,0.141
"k=5_depth=5","k=5","k=5","5",8,2,0.510204081632653,3999,1001,0.141858141858142
"k=5_depth=5","k=5","k=5","5",8,3,0.491978609625668,4001,999,0.141141141141141
"k=5_depth=5","k=5","k=5","5",8,4,0.48936170212766,3999,1001,0.141858141858142
"k=5_depth=5","k=5","k=5","5",8,5,0.463157894736842,4001,999,0.141141141141141
"k=5_depth=5","k=5","k=5","5",9,1,0.43010752688172,4000,1000,0.141
"k=5_depth=5","k=5","k=5","5",9,2,0.50261780104712,4001,999,0.141141141141141
"k=5_depth=5","k=5","k=5","5",9,3,0.384180790960452,4000,1000,0.141
"k=5_depth=5","k=5","k=5","5",9,4,0.545454545454545,3999,1001,0.141858141858142
"k=5_depth=5","k=5","k=5","5",9,5,0.555555555555555,4000,1000,0.142
"k=5_depth=5","k=5","k=5","5",10,1,0.513089005235602,4001,999,0.141141141141141
"k=5_depth=5","k=5","k=5","5",10,2,0.448087431693989,3999,1001,0.141858141858142
"k=5_depth=5","k=5","k=5","5",10,3,0.494845360824742,4000,1000,0.142
"k=5_depth=5","k=5","k=5","5",10,4,0.494736842105263,4000,1000,0.141
"k=5_depth=5","k=5","k=5","5",10,5,0.530612244897959,4000,1000,0.141
"k=10_depth=5","k=10","k=10","5",1,1,0.54,4500,500,0.142
"k=10_depth=5","k=10","k=10","5",1,2,0.556701030927835,4500,500,0.14
"k=10_depth=5","k=10","k=10","5",1,3,0.526315789473684,4501,499,0.140280561122244
"k=10_depth=5","k=10","k=10","5",1,4,0.494845360824742,4500,500,0.142
"k=10_depth=5","k=10","k=10","5",1,5,0.417582417582418,4499,501,0.141716566866267
"k=10_depth=5","k=10","k=10","5",1,6,0.588235294117647,4499,501,0.141716566866267
"k=10_depth=5","k=10","k=10","5",1,7,0.416666666666667,4500,500,0.142
"k=10_depth=5","k=10","k=10","5",1,8,0.545454545454546,4501,499,0.140280561122244
"k=10_depth=5","k=10","k=10","5",1,9,0.48936170212766,4500,500,0.142
"k=10_depth=5","k=10","k=10","5",1,10,0.451612903225806,4500,500,0.142
"k=10_depth=5","k=10","k=10","5",2,1,0.479166666666667,4501,499,0.140280561122244
"k=10_depth=5","k=10","k=10","5",2,2,0.446808510638298,4500,500,0.142
"k=10_depth=5","k=10","k=10","5",2,3,0.515463917525773,4500,500,0.142
"k=10_depth=5","k=10","k=10","5",2,4,0.494845360824742,4500,500,0.142
"k=10_depth=5","k=10","k=10","5",2,5,0.601941747572815,4500,500,0.142
"k=10_depth=5","k=10","k=10","5",2,6,0.494845360824742,4500,500,0.14
"k=10_depth=5","k=10","k=10","5",2,7,0.556701030927835,4501,499,0.140280561122244
"k=10_depth=5","k=10","k=10","5",2,8,0.367816091954023,4500,500,0.142
"k=10_depth=5","k=10","k=10","5",2,9,0.510204081632653,4499,501,0.141716566866267
"k=10_depth=5","k=10","k=10","5",2,10,0.382022471910112,4499,501,0.141716566866267
"k=10_depth=5","k=10","k=10","5",3,1,0.568627450980392,4499,501,0.141716566866267
"k=10_depth=5","k=10","k=10","5",3,2,0.505263157894737,4500,500,0.14
"k=10_depth=5","k=10","k=10","5",3,3,0.41304347826087,4500,500,0.142
"k=10_depth=5","k=10","k=10","5",3,4,0.640776699029126,4501,499,0.140280561122244
"k=10_depth=5","k=10","k=10","5",3,5,0.404494382022472,4500,500,0.142
"k=10_depth=5","k=10","k=10","5",3,6,0.58,4500,500,0.142
"k=10_depth=5","k=10","k=10","5",3,7,0.5,4501,499,0.140280561122244
"k=10_depth=5","k=10","k=10","5",3,8,0.456521739130435,4499,501,0.141716566866267
"k=10_depth=5","k=10","k=10","5",3,9,0.456521739130435,4500,500,0.142
"k=10_depth=5","k=10","k=10","5",3,10,0.4,4500,500,0.142
"k=10_depth=5","k=10","k=10","5",4,1,0.456521739130435,4500,500,0.142
"k=10_depth=5","k=10","k=10","5",4,2,0.515463917525773,4501,499,0.140280561122244
"k=10_depth=5","k=10","k=10","5",4,3,0.536082474226804,4499,501,0.141716566866267
"k=10_depth=5","k=10","k=10","5",4,4,0.576923076923077,4500,500,0.142
"k=10_depth=5","k=10","k=10","5",4,5,0.367816091954023,4500,500,0.142
"k=10_depth=5","k=10","k=10","5",4,6,0.474226804123711,4501,499,0.140280561122244
"k=10_depth=5","k=10","k=10","5",4,7,0.621359223300971,4500,500,0.142
"k=10_depth=5","k=10","k=10","5",4,8,0.468085106382979,4499,501,0.141716566866267
"k=10_depth=5","k=10","k=10","5",4,9,0.494623655913978,4500,500,0.14
"k=10_depth=5","k=10","k=10","5",4,10,0.337078651685393,4500,500,0.142
"k=10_depth=5","k=10","k=10","5",5,1,0.622641509433962,4501,499,0.140280561122244
"k=10_depth=5","k=10","k=10","5",5,2,0.463157894736842,4500,500,0.142
"k=10_depth=5","k=10","k=10","5",5,3,0.30952380952381,4500,500,0.142
"k=10_depth=5","k=10","k=10","5",5,4,0.536082474226804,4500,500,0.142
"k=10_depth=5","k=10","k=10","5",5,5,0.54,4499,501,0.141716566866267
"k=10_depth=5","k=10","k=10","5",5,6,0.451612903225806,4500,500,0.142
"k=10_depth=5","k=10","k=10","5",5,7,0.505263157894737,4499,501,0.141716566866267
"k=10_depth=5","k=10","k=10","5",5,8,0.58,4501,499,0.140280561122244
"k=10_depth=5","k=10","k=10","5",5,9,0.551020408163265,4500,500,0.14
"k=10_depth=5","k=10","k=10","5",5,10,0.554455445544554,4500,500,0.142
"k=10_depth=5","k=10","k=10","5",6,1,0.536082474226804,4499,501,0.141716566866267
"k=10_depth=5","k=10","k=10","5",6,2,0.536082474226804,4500,500,0.142
"k=10_depth=5","k=10","k=10","5",6,3,0.451612903225806,4500,500,0.142
